Anime_id,Title,Genre,Type,Producer,Studio,Rating,ScoredBy,Popularity,Members,Episodes,Source,Aired,,,,,
26,Texhnolyze,"['Action', 'Sci-Fi', 'Psychological', 'Drama']",TV,"['Group TAC', 'Rondo Robe', 'Fuji TV', 'Pioneer LDC']",['Madhouse'],7.78,29698,720,126309,22,Original,"Apr 17, 2003 to Sep 25, 2003",,,,,
26,Texhnolyze,"['Action', 'Sci-Fi', 'Psychological', 'Drama']",TV,"['Group TAC', 'Rondo Robe', 'Fuji TV', 'Pioneer LDC']",['Madhouse'],7.78,29698,720,126309,22,Original,"Apr 17, 2003 to Sep 25, 2003",,,,,
27,Trinity Blood,"['Action', 'Supernatural', 'Vampire']",TV,,['Gonzo'],7.41,59564,761,131732,24,Light novel,"Apr 29, 2005 to Oct 28, 2005",,,,,
28,Yakitate!! Japan,"['Comedy', 'Shounen']",TV,"['TV Tokyo', 'Aniplex', 'd-rights', 'Tohokushinsha Film Corporation', 'Atelier Musa']",['Sunrise'],8.02,26509,1476,62224,69,Manga,"Oct 12, 2004 to Mar 14, 2006",,,,,
29,Zipang,"['Action', 'Military', 'Sci-Fi', 'Historical', 'Drama', 'Seinen']",TV,"['Marvelous', 'TBS']",['Studio Deen'],7.54,4148,3729,11768,26,Manga,"Oct 8, 2004 to Apr 1, 2005",,,,,
30,Neon Genesis Evangelion,"['Action', 'Sci-Fi', 'Dementia', 'Psychological', 'Drama', 'Mecha']",TV,"['TV Tokyo', 'Kadokawa Shoten', 'Nihon Ad Systems', 'Audio Tanaka']","['Gainax', 'Tatsunoko Production']",8.32,362916,49,638943,26,Original,"Oct 4, 1995 to Mar 27, 1996",,,,,
31,Neon Genesis Evangelion: Death & Rebirth,"['Drama', 'Mecha', 'Psychological', 'Sci-Fi']",Movie,"['Movic', 'Sega', 'TV Tokyo Music', 'Audio Tanaka']","['Gainax', 'Production I.G']",7.5,70336,764,121746,1,Original,15-Mar-97,,,,,
32,Neon Genesis Evangelion: The End of Evangelion,"['Sci-Fi', 'Dementia', 'Psychological', 'Drama', 'Mecha']",Movie,"['TV Tokyo', 'Toei Animation', 'Kadokawa Shoten', 'Movic', 'Sega', 'TV Tokyo Music', 'Audio Tanaka']","['Gainax', 'Production I.G']",8.48,193277,208,295214,1,Original,19-Jul-97,,,,,
33,Kenpuu Denki Berserk,"['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Military', 'Romance', 'Seinen', 'Supernatural']",TV,"['VAP', 'Hakusensha', 'Nippon Television Network']",['OLM'],8.45,153543,250,301328,25,Manga,"Oct 8, 1997 to Apr 1, 1998",,,,,
43,Koukaku Kidoutai,"['Action', 'Sci-Fi', 'Police', 'Psychological', 'Mecha', 'Seinen']",Movie,"['Bandai Visual', 'Kodansha']",['Production I.G'],8.35,182385,205,328965,1,Manga,18-Nov-95,,,,,
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"['Action', 'Historical', 'Drama', 'Romance', 'Martial Arts', 'Samurai']",OVA,['Aniplex'],['Studio Deen'],8.79,89007,537,166944,4,Manga,"Feb 20, 1999 to Sep 22, 1999",,,,,
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"['Action', 'Adventure', 'Comedy', 'Historical', 'Romance', 'Samurai']",TV,"['Aniplex', 'SME Visual Works', 'Fuji TV']","['Studio Gallop', 'Studio Deen']",8.4,135492,294,274956,94,Manga,"Jan 10, 1996 to Sep 8, 1998",,,,,
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,"['Samurai', 'Historical', 'Drama', 'Shounen']",Movie,"['Fuji TV', 'Sony Music Entertainment']",['Studio Gallop'],7.63,20921,2166,37273,1,Manga,20-Dec-97,,,,,
47,Akira,"['Action', 'Military', 'Sci-Fi', 'Adventure', 'Horror', 'Supernatural']",Movie,"['Mainichi Broadcasting System', 'Kodansha', 'Toho']",['Tokyo Movie Shinsha'],8.16,190158,195,309004,1,Manga,16-Jul-88,,,,,
48,.hack//Sign,"['Game', 'Sci-Fi', 'Adventure', 'Mystery', 'Magic', 'Fantasy']",TV,"['Bandai Visual', 'Yomiko Advertising', 'Bandai', 'CyberConnect2']",['Bee Train'],7.09,61438,771,129203,26,Original,"Apr 4, 2002 to Sep 26, 2002",,,,,
49,Aa! Megami-sama!,"['Comedy', 'Magic', 'Romance', 'Seinen', 'Supernatural']",OVA,"['Bandai Visual', 'KSS', 'Pony Canyon', 'TBS', 'Kodansha', 'Half H.P Studio', 'Nichion']",['AIC'],7.38,20917,2083,38999,5,Manga,"Feb 21, 1993 to May 17, 1994",,,,,
50,Aa! Megami-sama! (TV),"['Comedy', 'Supernatural', 'Magic', 'Romance', 'Seinen']",TV,"['Bandai Visual', 'TBS']",['AIC'],7.43,57230,902,111950,24,Manga,"Jan 7, 2005 to Jul 8, 2005",,,,,
51,Tenshi Kinryouku,"['Action', 'Drama', 'Romance', 'Shoujo', 'Supernatural']",OVA,"['Bandai Visual', 'AIC', 'Lantis', 'Audio Tanaka']",['Hal Film Maker'],6.42,23142,2120,39332,3,Manga,"May 25, 2000 to Aug 25, 2000",,,,,
52,Kidou Tenshi Angelic Layer,"['Sci-Fi', 'Comedy', 'Sports', 'Drama', 'Shounen']",TV,['TV Tokyo Music'],['Bones'],7.31,22155,1957,44193,26,Manga,"Apr 1, 2001 to Sep 23, 2001",,,,,
53,Ai Yori Aoshi,"['Comedy', 'Drama', 'Harem', 'Romance', 'Slice of Life']",TV,"['Movic', 'Fuji TV', 'Pioneer LDC', 'Cosmic Ray']",['J.C.Staff'],7.21,39120,1251,77802,24,Manga,"Apr 11, 2002 to Sep 26, 2002",,,,,
54,Appleseed (Movie),"['Action', 'Military', 'Sci-Fi', 'Police', 'Drama', 'Mecha', 'Shounen']",Movie,"['Mainichi Broadcasting System', 'Toho', 'TYO Animations', 'TYO']",['Digital Frontier'],7.19,33806,1656,55642,1,Manga,17-Apr-04,,,,,
55,Arc the Lad,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Sci-Fi']",TV,"['Sony Pictures Entertainment', 'Aniplex']",['Bee Train'],6.6,4313,3864,11894,26,Game,"Apr 5, 1999 to Sep 11, 1999",,,,,
56,Avenger,"['Adventure', 'Fantasy', 'Sci-Fi', 'Shounen']",TV,['Production I.G'],"['Bee Train', 'Xebec']",5.97,5304,3672,13734,13,Original,"Oct 2, 2003 to Dec 25, 2003",,,,,
57,Beck,"['Comedy', 'Drama', 'Music', 'Shounen', 'Slice of Life']",TV,"['Marvelous', 'Starchild Records', 'Asatsu DK', 'Kodansha']",['Madhouse'],8.37,86919,489,184445,26,Manga,"Oct 7, 2004 to Mar 31, 2005",,,,,
58,Blue Gender,"['Adventure', 'Romance', 'Mecha', 'Military', 'Sci-Fi', 'Horror', 'Space', 'Drama']",TV,"['Youmex', 'Toshiba EMI']",['AIC'],7.11,20557,1699,50597,26,Original,"Oct 8, 1999 to Mar 31, 2000",,,,,
59,Chobits,"['Sci-Fi', 'Comedy', 'Drama', 'Romance', 'Ecchi', 'Seinen']",TV,"['TBS', 'Pioneer LDC']",['Madhouse'],7.53,175227,260,317260,26,Manga,"Apr 3, 2002 to Sep 25, 2002",,,,,
60,Chrno Crusade,"['Action', 'Historical', 'Demons', 'Supernatural', 'Romance']",TV,"['Lantis', 'Kadokawa Shoten', 'Fuji TV']",['Gonzo'],7.76,78730,593,165218,24,Manga,"Nov 25, 2003 to Jun 10, 2004",,,,,
60,Chrno Crusade,"['Action', 'Historical', 'Demons', 'Supernatural', 'Romance']",TV,"['Lantis', 'Kadokawa Shoten', 'Fuji TV']",['Gonzo'],7.76,78730,593,165218,24,Manga,"Nov 25, 2003 to Jun 10, 2004",,,,,
61,D.N.Angel,"['Action', 'Comedy', 'Magic', 'Romance', 'Fantasy', 'School', 'Shoujo']",TV,['Kadokawa Shoten'],['Xebec'],7.31,75971,716,142935,26,Manga,"Apr 3, 2003 to Sep 25, 2003",,,,,
62,D.C.: Da Capo,"['Harem', 'Drama', 'Magic', 'Romance']",TV,"['Lantis', 'King Records']","['feel.', 'Zexcs']",6.87,24042,1620,56434,26,Visual novel,"Jul 5, 2003 to Dec 27, 2003",,,,,
63,DearS,"['Sci-Fi', 'Harem', 'Comedy', 'Romance', 'Ecchi']",TV,"['Bandai Visual', 'Hal Film Maker', 'Genco', 'Lantis']",['Daume'],6.74,59210,954,105654,12,Manga,"Jul 11, 2004 to Sep 26, 2004",,,,,
64,Rozen Maiden,"['Action', 'Comedy', 'Drama', 'Magic', 'Seinen']",TV,"['Mellow Head', 'Pony Canyon', 'TBS', 'Memory-Tech', 'Studio Jack']",['Nomad'],7.53,74244,678,148037,12,Manga,"Oct 8, 2004 to Dec 24, 2004",,,,,
65,Rozen Maiden: Träumend,"['Action', 'Comedy', 'Drama', 'Magic', 'Seinen']",TV,"['Mellow Head', 'TBS']",['Nomad'],7.74,47114,1225,81329,12,Manga,"Oct 21, 2005 to Jan 27, 2006",,,,,
66,Azumanga Daioh,"['Slice of Life', 'Comedy', 'School']",TV,"['Genco', 'Lantis', 'Imagica', 'TV Tokyo Music', 'Cosmic Ray', 'King Records']",['J.C.Staff'],8.04,97220,450,203059,26,4-koma manga,"Apr 9, 2002 to Oct 1, 2002",,,,,
67,Basilisk: Kouga Ninpou Chou,"['Action', 'Adventure', 'Historical', 'Supernatural', 'Romance', 'Samurai', 'Fantasy']",TV,"['GDH', 'Kodansha', 'Sotsu Music Publishing']",['Gonzo'],7.66,54403,784,124967,24,Manga,"Apr 13, 2005 to Sep 21, 2005",,,,,
68,Black Cat,"['Adventure', 'Comedy', 'Sci-Fi', 'Shounen', 'Super Power']",TV,"['GDH', 'Dentsu', 'TBS', 'Sotsu Music Publishing']",['Gonzo'],7.49,89095,525,181644,23,Manga,"Oct 7, 2005 to Mar 31, 2006",,,,,
69,Cluster Edge,"['Action', 'Fantasy', 'Military', 'Sci-Fi']",TV,['Bandai Visual'],['Sunrise'],6.45,2183,4637,7831,25,Original,"Oct 5, 2005 to Mar 29, 2006",,,,,
71,Full Metal Panic!,"['Action', 'Military', 'Sci-Fi', 'Comedy', 'Mecha']",TV,['Kadokawa Shoten'],['Gonzo'],7.75,167246,244,317099,24,Light novel,"Jan 8, 2002 to Jun 18, 2002",,,,,
71,Full Metal Panic!,"['Action', 'Military', 'Sci-Fi', 'Comedy', 'Mecha']",TV,['Kadokawa Shoten'],['Gonzo'],7.75,167246,244,317099,24,Light novel,"Jan 8, 2002 to Jun 18, 2002",,,,,
72,Full Metal Panic? Fumoffu,"['Action', 'Comedy', 'School']",TV,"['Tatsunoko Production', 'Kadokawa Shoten', 'Fuji TV', 'Imagica', 'Rakuonsha', 'Kadokawa Pictures Japan', 'KlockWorx', 'Happinet Pictures', 'Animation Do']",['Kyoto Animation'],8.16,127214,452,203721,12,Light novel,"Aug 26, 2003 to Oct 18, 2003",,,,,
73,Full Metal Panic! The Second Raid,"['Action', 'Military', 'Mecha']",TV,"['Kadokawa Shoten', 'Happinet Pictures']",['Kyoto Animation'],8.03,109315,520,184261,13,Light novel,"Jul 14, 2005 to Oct 20, 2005",,,,,
74,Gakuen Alice,"['Comedy', 'School', 'Shoujo', 'Super Power']",TV,"['Aniplex', 'Sogo Vision']",['Group TAC'],7.77,33204,1477,62865,26,Manga,"Oct 30, 2004 to May 14, 2005",,,,,
75,Soukyuu no Fafner: Dead Aggressor,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi']",TV,['TV Tokyo Music'],['Xebec'],7.36,10469,2280,32492,25,Original,"Jul 5, 2004 to Dec 27, 2004",,,,,
76,Mahou Shoujo Lyrical Nanoha,"['Action', 'Comedy', 'Drama', 'Magic', 'Super Power']",TV,"['Starchild Records', 'Omnibus Japan']",['Seven Arcs'],7.49,31503,1325,73306,13,Original,"Oct 3, 2004 to Dec 26, 2004",,,,,
77,Mahou Shoujo Lyrical Nanoha A's,"['Action', 'Comedy', 'Drama', 'Magic', 'Super Power']",TV,"['Starchild Records', 'Omnibus Japan']",['Seven Arcs'],8.07,25763,1825,47811,13,Original,"Oct 2, 2005 to Dec 25, 2005",,,,,
79,Shuffle!,"['Comedy', 'Drama', 'Ecchi', 'Fantasy', 'Harem', 'Magic', 'Romance', 'School', 'Seinen']",TV,"['Lantis', 'Memory-Tech']","['Xebec', 'Asread']",7.24,96970,496,190598,24,Visual novel,"Jul 8, 2005 to Jan 6, 2006",,,,,
80,Mobile Suit Gundam,"['Action', 'Space', 'Mecha', 'Military', 'Sci-Fi']",TV,"['Sotsu', 'Nagoya TV Housou']",['Sunrise'],7.87,29261,1332,66802,43,Original,"Apr 7, 1979 to Jan 26, 1980",,,,,
81,Mobile Suit Gundam: The 08th MS Team,"['Military', 'Sci-Fi', 'Adventure', 'Drama', 'Romance', 'Mecha']",OVA,['Atelier Musa'],['Sunrise'],8.1,24816,1803,44047,12,Original,"Jan 25, 1996 to Jul 25, 1999",,,,,
82,Mobile Suit Gundam 0080: War in the Pocket,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",OVA,['Bandai Visual'],['Sunrise'],7.87,16209,2298,29545,6,Original,"Mar 25, 1989 to Aug 25, 1989",,,,,
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,"['Military', 'Sci-Fi', 'Drama', 'Romance', 'Mecha']",Movie,"['Sotsu', 'Atelier Musa']",['Sunrise'],6.92,4800,4260,9344,1,Original,1-Aug-98,,,,,
84,Mobile Suit Gundam 0083: Stardust Memory,"['Military', 'Sci-Fi', 'Adventure', 'Space', 'Drama', 'Romance', 'Mecha']",OVA,['Bandai Visual'],['Sunrise'],7.42,14133,2594,24894,13,Original,"May 23, 1991 to Sep 24, 1992",,,,,
85,Mobile Suit Zeta Gundam,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Romance', 'Mecha']",TV,"['Sotsu', 'Nagoya TV Housou']",['Sunrise'],8.02,18568,2016,37251,50,Original,"Mar 2, 1985 to Feb 22, 1986",,,,,
86,Mobile Suit Gundam ZZ,"['Space', 'Comedy', 'Mecha', 'Military', 'Drama', 'Sci-Fi']",TV,"['Sotsu', 'Nagoya TV Housou']",['Sunrise'],6.76,10131,2762,21830,47,Original,"Mar 1, 1986 to Jan 31, 1987",,,,,
87,Mobile Suit Gundam: Char's Counterattack,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",Movie,"['Sotsu', 'Nozomi Entertainment', 'Atelier Musa']","['Sunrise', 'Studio Hibari']",7.77,13934,2604,24100,1,Novel,12-Mar-88,,,,,
87,Mobile Suit Gundam: Char's Counterattack,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",Movie,"['Sotsu', 'Nozomi Entertainment', 'Atelier Musa']","['Sunrise', 'Studio Hibari']",7.77,13934,2603,24100,1,Novel,12-Mar-88,,,,,
88,Mobile Suit Gundam F91,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",Movie,"['Sotsu', 'Shochiku', 'Atelier Musa', 'Nagoya TV Housou']",['Sunrise'],6.81,9124,3208,16606,1,Unknown,16-Mar-91,,,,,
89,Mobile Suit Victory Gundam,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",TV,"['TV Asahi', 'Sotsu', 'Apollon']","['Sunrise', 'Studio Deen']",6.89,5743,3353,15437,51,Original,"Apr 2, 1993 to Mar 25, 1994",,,,,
90,Mobile Suit Gundam Wing,"['Action', 'Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",TV,['TV Asahi'],['Sunrise'],7.84,59837,968,102695,49,Original,"Apr 7, 1995 to Mar 29, 1996",,,,,
91,Mobile Suit Gundam Wing: Endless Waltz,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Space']",OVA,"['Bandai Visual', 'Sotsu']",['Sunrise'],7.86,19807,2288,33070,3,Original,"Jan 25, 1997 to Jul 25, 1997",,,,,
92,After War Gundam X,"['Sci-Fi', 'Adventure', 'Space', 'Drama', 'Mecha']",TV,"['TV Asahi', 'Sotsu']",['Sunrise'],7.38,9860,2802,22432,39,Original,"Apr 5, 1996 to Dec 28, 1996",,,,,
93,Mobile Suit Gundam SEED,"['Action', 'Space', 'Mecha', 'Romance', 'Military', 'Drama', 'Sci-Fi']",TV,"['Sotsu', 'Asatsu DK', 'Mainichi Broadcasting System', 'Sony Music Entertainment', 'Atelier Musa']",['Sunrise'],7.88,65828,894,113769,50,Original,"Oct 5, 2002 to Sep 27, 2003",,,,,
94,Mobile Suit Gundam SEED Destiny,"['Action', 'Space', 'Mecha', 'Romance', 'Military', 'Drama', 'Sci-Fi']",TV,"['Sotsu', 'Mainichi Broadcasting System', 'Sony Music Entertainment']",['Sunrise'],7.32,46155,1319,75184,50,Original,"Oct 9, 2004 to Oct 1, 2005",,,,,
95,Turn A Gundam,"['Action', 'Military', 'Sci-Fi', 'Adventure', 'Space', 'Drama', 'Romance', 'Mecha']",TV,"['Sotsu', 'Fuji TV']","['Sunrise', 'Nakamura Production']",7.75,8619,2548,25363,50,Original,"Apr 9, 1999 to Apr 14, 2000",,,,,
95,Turn A Gundam,"['Action', 'Military', 'Sci-Fi', 'Adventure', 'Space', 'Drama', 'Romance', 'Mecha']",TV,"['Sotsu', 'Fuji TV']","['Sunrise', 'Nakamura Production']",7.75,8619,2544,25363,50,Original,"Apr 9, 1999 to Apr 14, 2000",,,,,
96,Mobile Fighter G Gundam,"['Sci-Fi', 'Adventure', 'Space', 'Comedy', 'Sports', 'Drama', 'Romance', 'Martial Arts', 'Mecha']",TV,"['TV Asahi', 'Sotsu']",['Sunrise'],7.61,23961,1910,43223,49,Original,"Apr 1, 1994 to Mar 31, 1995",,,,,
97,Last Exile,"['Action', 'Sci-Fi', 'Adventure']",TV,"['GDH', 'Victor Entertainment', 'TV Tokyo Music']",['Gonzo'],7.9,53498,810,122802,26,Original,"Apr 8, 2003 to Sep 30, 2003",,,,,
98,Mai-HiME,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Mecha', 'Romance', 'School', 'Shoujo Ai']",TV,"['Bandai Visual', 'TV Tokyo Music', 'Studio Zain']",['Sunrise'],7.55,41234,1158,85965,26,Original,"Sep 30, 2004 to Mar 31, 2005",,,,,
99,Mai-Otome,"['Comedy', 'Drama', 'Fantasy', 'Magic']",TV,"['Bandai Visual', 'Lantis', 'TV Tokyo Music']",['Sunrise'],7.37,20942,2078,40418,26,Original,"Oct 7, 2005 to Mar 31, 2006",,,,,
100,Shin Shirayuki-hime Densetsu Prétear,"['Comedy', 'Drama', 'Fantasy', 'Magic', 'Romance', 'Shoujo', 'Super Power']",TV,"['Kadokawa Shoten', 'Rondo Robe']",['Hal Film Maker'],7.3,20937,1943,43399,13,Manga,"Apr 4, 2001 to Jun 27, 2001",,,,,
101,Air,"['Slice of Life', 'Supernatural', 'Drama', 'Romance']",TV,"['Pony Canyon', 'TBS', 'Movic']",['Kyoto Animation'],7.42,116877,429,215322,12,Visual novel,"Jan 7, 2005 to Mar 25, 2005",,,,,
102,Aishiteruze Baby★★,"['Comedy', 'Drama', 'Romance', 'Shoujo']",TV,"['Animax', 'Toei Video', 'Sunny Side Up']",['TMS Entertainment'],7.55,39274,1328,73834,26,Manga,"Apr 3, 2004 to Oct 9, 2004",,,,,
103,Akazukin Chacha,"['Adventure', 'Comedy', 'Fantasy', 'Magic', 'Romance', 'Shoujo']",TV,"['Nihon Ad Systems', 'Shueisha']",['Studio Gallop'],7.46,3148,4227,9179,74,Manga,"Jan 7, 1994 to Jun 30, 1995",,,,,
104,Ayashi no Ceres,"['Adventure', 'Comedy', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Romance', 'Shoujo']",TV,['Bandai Visual'],['Studio Pierrot'],7.34,20539,1941,43835,24,Manga,"Apr 20, 2000 to Sep 28, 2000",,,,,
105,Boys Be...,"['Slice of Life', 'Comedy', 'Romance', 'Shounen']",TV,['Audio Tanaka'],['Hal Film Maker'],6.54,6956,3327,16852,13,Manga,"Apr 11, 2000 to Jul 4, 2000",,,,,
106,Hana yori Dango,"['Drama', 'Romance', 'School', 'Shoujo']",TV,,['Toei Animation'],7.85,14441,2158,34813,51,Manga,"Sep 8, 1996 to Aug 31, 1997",,,,,
107,Ou Dorobou Jing,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi', 'Shounen']",TV,['Aniplex'],['Studio Deen'],7.32,10882,2542,27050,13,Manga,"May 15, 2002 to Aug 14, 2002",,,,,
108,Ou Dorobou Jing in Seventh Heaven,"['Adventure', 'Fantasy', 'Psychological', 'Comedy', 'Shounen']",OVA,['Aniplex'],['Studio Deen'],7.39,4523,4196,9800,3,Unknown,"Jan 21, 2004 to Apr 28, 2004",,,,,
109,Bakuretsu Tenshi,"['Adventure', 'Comedy', 'Mecha', 'Sci-Fi']",TV,"['GDH', 'TV Asahi', 'Imagica']",['Gonzo'],6.9,23930,1702,53942,24,Original,"Apr 7, 2004 to Sep 15, 2004",,,,,
110,Chuuka Ichiban!,"['Action', 'Comedy', 'Drama', 'Shounen']",TV,,['Nippon Animation'],7.7,4742,3861,10591,52,Manga,"Apr 27, 1997 to Sep 13, 1998",,,,,
111,Corrector Yui,"['Sci-Fi', 'Adventure', 'Comedy', 'Magic']",TV,"['NHK', 'Studio Tron']",['Nippon Animation'],6.9,3948,4216,9189,52,Original,"Apr 9, 1999 to Oct 20, 2000",,,,,
112,Chou Henshin Cosprayers,"['Action', 'Ecchi', 'Adventure', 'Fantasy', 'Magic', 'Comedy', 'Super Power', 'Sci-Fi']",TV,['m.o.e.'],"['Imagin', 'Studio Live']",5.05,2272,5054,6214,8,Original,"Jan 12, 2004 to Mar 1, 2004",,,,,
113,Uchuu no Stellvia,"['Action', 'Romance', 'Sci-Fi', 'Space']",TV,"['Starchild Records', 'TV Tokyo Music']",['Xebec'],7.46,7285,3242,17614,26,Original,"Apr 3, 2003 to Sep 25, 2003",,,,,
114,Sakigake!! Cromartie Koukou,"['Comedy', 'School', 'Shounen']",TV,['TV Tokyo Music'],['Production I.G'],8,34389,1100,84903,26,Manga,"Oct 3, 2003 to Mar 26, 2004",,,,,
115,El Hazard: The Alternative World,"['Adventure', 'Comedy', 'Fantasy']",TV,['Pioneer LDC'],['AIC'],6.91,3731,4551,8092,13,Original,"Jan 8, 1998 to Mar 26, 1998",,,,,
116,El Hazard: The Wanderers,"['Adventure', 'Comedy', 'Romance', 'Fantasy']",TV,"['TV Tokyo', 'Geneon Universal Entertainment', 'SoftX', 'Pioneer LDC', 'TV Tokyo Music', 'Atelier Musa']",['AIC'],7.06,4900,3874,11185,26,Original,"Oct 6, 1995 to Mar 29, 1996",,,,,
117,El Hazard: The Magnificent World,"['Adventure', 'Comedy', 'Fantasy', 'Romance']",OVA,['Pioneer LDC'],['AIC'],7.4,5444,3801,11949,7,Original,"May 26, 1995 to Jan 25, 1996",,,,,
118,El Hazard 2: The Magnificent World,"['Adventure', 'Comedy', 'Fantasy']",OVA,['Pioneer LDC'],['AIC'],6.95,3232,4969,6469,4,Original,"Mar 21, 1997 to Oct 25, 1997",,,,,
119,Final Approach,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",TV,['Trinet Entertainment'],['Zexcs'],6.64,14511,2569,27717,13,Visual novel,"Oct 3, 2004 to Dec 26, 2004",,,,,
120,Fruits Basket,"['Slice of Life', 'Comedy', 'Drama', 'Romance', 'Fantasy', 'Shoujo']",TV,"['TV Tokyo', 'Nihon Ad Systems', 'King Records']",['Studio Deen'],7.77,167717,277,291949,26,Manga,"Jul 5, 2001 to Dec 27, 2001",,,,,
